1,DET,KC,2023-09-07T17:15:00-07:00
2,MIN,PHI,2023-09-14T17:15:00-07:00
3,NYG,SF,2023-09-21T17:15:00-07:00
4,DET,GB,2023-09-28T17:15:00-07:00
4,ATL,JAX,2023-10-01T06:30:00-07:00
5,CHI,WAS,2023-10-05T17:15:00-07:00
5,JAX,BUF,2023-10-08T06:30:00-07:00
6,DEN,KC,2023-10-12T17:15:00-07:00
6,BAL,TEN,2023-10-15T06:30:00-07:00
7,JAX,NO,2023-10-19T17:15:00-07:00
8,TB,BUF,2023-10-26T17:15:00-07:00
9,TEN,PIT,2023-11-02T17:15:00-07:00
9,MIA,KC,2023-11-05T17:15:00-08:00
10,CAR,CHI,2023-11-09T17:15:00-08:00
10,IND,NE,2023-11-12T06:30:00-08:00
11,CIN,BAL,2023-11-16T17:15:00-08:00
12,GB,DET,2023-11-23T09:30:00-08:00
12,WAS,DAL,2023-11-23T13:30:00-08:00
12,SF,SEA,2023-11-23T17:20:00-08:00
12,MIA,NYJ,2023-11-24T12:00:00-08:00
13,SEA,DAL,2023-11-30T17:15:00-08:00
14,NE,PIT,2023-12-07T17:15:00-08:00
15,LAC,LV,2023-12-14T17:15:00-08:00
16,NO,LA,2023-12-21T17:15:00-08:00
16,CIN,PIT,2023-12-23T13:30:00-08:00
16,BUF,LAC,2023-12-23T17:00:00-08:00
17,NYJ,CLE,2023-12-28T17:15:00-08:00
17,DET,DAL,2023-12-30T17:15:00-08:00
